startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_phone,startup_email
"Le Fonds Européen d’Investissement, 123 Investment Managers et Lendosphere annoncent un nouveau fonds de dette durable",145 Milliards :),27/05/2024,https://www.jaimelesstartups.fr/news/le-fonds-europeen-dinvestissement-123-investment-managers-et-lendosphere-annoncent-un-nouveau-fonds-de-dette-durable/,,,,,,
"UZAJE lance Hygie, l’outil pour optimiser le lavage dans la restauration",11 M€,27/05/2024,https://www.jaimelesstartups.fr/news/uzaje-lance-hygie-loutil-pour-optimiser-le-lavage-dans-la-restauration/,,,,,,
IKO&NOTT annonce une levée de fonds de 700K€ pour ses chaussure en cuir recyclé,700 000,27/05/2024,https://www.jaimelesstartups.fr/news/ikonott-annonce-une-levee-de-fonds-de-700ke-pour-ses-chaussure-en-cuir-recycle/,,,,,,
"Qommute annonce une levée de fonds de 2,4 M€","2,4 M€",24/05/2024,https://www.jaimelesstartups.fr/news/qommute-annonce-une-levee-de-fonds-de-24-me/,,,,,,
La PropTech Vasco annonce une levée de 2 millions €,2 millions d'euros,23/05/2024,https://www.jaimelesstartups.fr/news/la-proptech-vasco-annonce-une-levee-de-2-millions-e/,,,,,,
La startup de cybersecurité Tenacy intègre le programme Scale Up Excellence,9 000 000,21/05/2024,https://www.jaimelesstartups.fr/news/la-startup-de-cybersecurite-tenacy-integre-le-programme-scale-up-excellence/,,,,,,
LiveArts annonce une levée d’1M€ pour sa plateforme d’animations,1 million,21/05/2024,https://www.jaimelesstartups.fr/news/livearts-annonce-une-levee-d1me-pour-sa-plateforme-danimations/,,,,,,
Baltee Mobility remporte 3 prix au concours Lépine,500 000,13/05/2024,https://www.jaimelesstartups.fr/news/baltee-mobility-remporte-3-prix-au-concours-lepine/,,,,,,
YOURSE,1100000,13/05/2024,https://www.jaimelesstartups.fr/yourse-locations-avec-offre-dachat-de-meubles-design/,,,,,,
VoltR annonce une levée de 4 M€ pour ses batteries reconditionnées,4 millions €,30/04/2024,https://www.jaimelesstartups.fr/news/voltr-annonce-une-levee-de-4-me-pour-ses-batteries-reconditionnees/,,,,,,
Kippy,"Au total, plus de 7 000 000 d'euros ont été levés.",26/04/2024,https://www.jaimelesstartups.fr/kippy-traceur-gps-et-moniteur-dactivite-pour-chiens-et-chats/,,,,,,
"la plateforme de seconde main PARADIGME annonce une levée de 1,2M€",1200000,25/04/2024,https://www.jaimelesstartups.fr/news/la-plateforme-de-seconde-main-paradigme-annonce-une-levee-de-12me/,,,,,,
La CyberTech Tenacy se lance à la conquête du monde,9 000 000 €,24/04/2024,https://www.jaimelesstartups.fr/news/la-cybertech-tenacy-se-lance-a-la-conquete-du-monde/,,,,,,
Kolecto,4 millions d’euros,23/04/2024,https://www.jaimelesstartups.fr/kolecto-outil-en-ligne-de-gestion-dentreprise/,,,,,,
Linxo Connect,20 000 000 €,23/04/2024,https://www.jaimelesstartups.fr/linxo-connect-solutions-open-banking/,,,,,,
"TABSTERS annonce une levée de fonds d’1,2 millions € pour son outil de pilotage des programmes collaboratifs","1,2M€",22/04/2024,https://www.jaimelesstartups.fr/news/tabsters-annonce-une-levee-de-fonds-d12-millions-e-pour-son-outil-de-pilotage-des-programmes-collaboratifs/,,,,,,
Payflows lève 25 M€ pour leur outil SaaS dédié aux départements financiers,25 millions €,22/04/2024,https://www.jaimelesstartups.fr/news/payflows-leve-25-me-pour-leur-outil-saas-dedie-aux-directions-financieres/,,,,,,
Teamstarter,7 millions d'euros,17/04/2024,https://www.jaimelesstartups.fr/teamstarter-outil-pour-ameliorer-lengagement-des-salaries/,,,,,,
Kiliba invente la smartletter,7 000 0000 €,16/04/2024,https://www.jaimelesstartups.fr/news/kiliba-invente-la-smartletter/,,,,,,
DrugOptimal,500 K€,16/04/2024,https://www.jaimelesstartups.fr/drugoptimal-incompatibilites-physico-chimiques/,,,,,,
MAYAM annonce une levée de 450 K€ pour accélérer la transformation digitale du vrac et du réemploi,450 K€,16/04/2024,https://www.jaimelesstartups.fr/news/mayam-annonce-une-levee-de-450-ke-pour-accelerer-la-transformation-digitale-du-vrac-et-du-reemploi/,,,,,,
Orixha annonce une levée de fonds de 4 millions € pour développer sa technologie de ventilation liquidienne,4000000,10/04/2024,https://www.jaimelesstartups.fr/news/orixha-annonce-une-levee-de-fonds-de-4-millions-e-pour-developer-sa-technologie-de-ventilation-liquidienne/,,,,,,
Aloen annonce une première levée de fonds de 410 K€ pour développer son outil de prospection téléphonique,410000,05/04/2024,https://www.jaimelesstartups.fr/news/aloen-annonce-une-premiere-levee-de-fonds-de-410-ke/,,,,,,
Callendar annonce une levée de 210 000 € pour s’adapter aux changements climatiques,210000,04/04/2024,https://www.jaimelesstartups.fr/news/callendar-annonce-une-levee-de-210-000-e-pour-sadapter-aux-changements-climatiques/,,,,,,
Fluid Topics annonce une levée de 15 millions € en série B,15 millions d'euros,04/04/2024,https://www.jaimelesstartups.fr/news/fluid-topics-annonce-une-levee-de-15-millions-e-en-serie-b/,,,,,,
"Libu et sa lampe qui reproduit la lumière du soleil, lève 1 millions €",1 000 000,28/03/2024,https://www.jaimelesstartups.fr/news/libu-et-sa-lampe-qui-reproduit-la-lumiere-du-soleil-leve-1-million-e/,,,,,,
Pelikan Mobility annonce une levée de 4 millions d’euros,4 000 000,27/03/2024,https://www.jaimelesstartups.fr/news/pelikan-mobility-annonce-une-levee-de-4-millions-deuros/,,,,,,
Qonto annonce le paiement fractionné,622 millions d'euros (en tout),27/03/2024,https://www.jaimelesstartups.fr/news/qonto-annonce-le-paiement-fractionne/,,,,,,
Kranus Health annonce une levée de fonds de 20M$,20 millions €,25/03/2024,https://www.jaimelesstartups.fr/news/kranus-health-annonce-une-levee-de-fonds-de-20m/,,,,,,
W Platform annonce une levée de fonds de 2 M€ pour sa solution de gestion du CO2,2 millions,20/03/2024,https://www.jaimelesstartups.fr/news/w-platform-annonce-une-levee-de-fonds-de-2-me-pour-sa-solution-de-gestion-du-co2/,,,,,,
Wishibam,8 000 000 €,14/03/2024,https://www.jaimelesstartups.fr/wishibam-logiciel-saas-pour-digitaliser-lactivite-retail/,,,,,,
Kolet annonce une levée de fonds de 5 millions € pour faciliter l’accès à internet,5 000 0000 €,14/03/2024,https://www.jaimelesstartups.fr/news/kolet-annonce-une-levee-de-fonds-de-5-millions-e-pour-faciliter-lacces-a-internet/,,,,,,
Docent lève 5 millions € pour apporter l’IA à l’Art Contemporain,5m€,13/03/2024,https://www.jaimelesstartups.fr/news/docent-leve-5-millions-e-pour-apporter-lia-a-lart-contemporain/,,,,,,
La #cybertech Anozr Way annonce une levée de fonds de 6 millions d’euros,6 000 000,13/03/2024,https://www.jaimelesstartups.fr/news/la-cybertech-anozr-way-annonce-une-levee-de-fonds-de-6-millions-deurosanozr-way/,,,,,,
Ta-da présente le launchpad de son token,3 200 000,08/03/2024,https://www.jaimelesstartups.fr/news/ta-da-presente-le-launchpad-de-son-token/,,,,,,
