startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_phrasechoc
Mon Petit Placement,600 000 €,20/05/2019,https://www.jaimelesstartups.fr/mon-petit-placement-investir-fintech/,Levée de fonds : 600 000 €,Fondateurs : Thomas Perret,Nombre d'employés : 9,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Mon%20Petit%20Placement,https://www.linkedin.com/company/mon-petit-placement/,https://www.facebook.com/monpetitplacement/,,,,LA STARTUP MON PETIT PLACEMENT A DÉVELOPPÉ UNE APPLI MOBILE ET VOUS FAIT BÉNÉFICIER DES MÊMES CONDITIONS D’INVESTISSEMENTS QU’UN INVESTISSEUR PROFESSIONNEL !
Monsieur Peinture,1 million d’euros levés,27/05/2019,https://www.jaimelesstartups.fr/news/monsieur-peinture-levee-de-fond/,Levée de fonds : 1 million d’euros levés,"Fondateurs : Charles Debains, Quentin Clément de Colombières et Victor Boutelier",Nombre d'employés : 8 employés,http://www.monsieurpeinture.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/monsieur-peinture/,https://www.facebook.com/monsieurpeinture,,,,"MONSIEUR PEINTURE LÈVE UN MILLION D’EUROS AUPRÈS DU GROUPE CROMOLOGY (PEINTURES TOLLENS, ZOLPAN…)."
Navily,"1,000,000 d'euros",17/06/2019,https://www.jaimelesstartups.fr/navily-appli-communautaire-littoral-bateau/,"Levée de fonds : 1,000,000 d'euros","Fondateurs : Edouard Fiess, Benjamin Rousseau",Nombre d'employés : 11,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Navily,https://fr.linkedin.com/company/navily,https://www.facebook.com/navilyApp/,,,,LA STARTUP NAVILY RECENSE TOUS LES POINTS DE MOUILLAGES ACCÉSSIBLE SUR LES CÔTES GRÂCE AUX UTILISATEURS. C’EST UN PEU LE WAZE
Copees,300000€,24/06/2019,https://www.jaimelesstartups.fr/news/copees-levee-de-fonds/,Levée de fonds : 300000€,Fondateurs : Steeve Sprimont,Nombre d'employés : 5,https://copees.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/copees/,https://www.facebook.com/copeesofficial/,,,,"COPEES, LE DELIVEROO DE L'IMPRIMERIE LÈVE 300 000 € AUPRÈS DE BUSINESS ANGELS ET DE LA BPI !"
MaCotisation,170000,19/06/2019,https://www.jaimelesstartups.fr/macotisation-outil-gestion-association/,Levée de fonds : 170000,"Fondateurs : Arnaud Tranché, Aurélien Paul, Brian Lombert",Nombre d'employés : 5,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=MaCotisation,https://fr.linkedin.com/company/macotisation,https://fr-fr.facebook.com/macotisation/,,,,LA STARTUP MACOTISATION PROPOSE UN OUTIL EN SAAS POUR FACILITER LA GESTION D’UNE ASSOCIATION.
PAZZI,10M d'€,18/06/2019,https://www.jaimelesstartups.fr/news/pazzi-levee-de-fonds/,Levée de fonds : 10M d'€,"Fondateurs : Sébastien Roverso, co-fondateur, directeur robotique et Cyrill Hamon, co-fondateur, directeur Automatisation",Nombre d'employés : 15,https://www.pazzi.co/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/pazzi-tastemakers,https://www.instagram.com/pazzi_tastemakers/,,,,PAZZI LÈVE UNE SÉRIE A DE 10 MILLIONS D’EUROS POUR ACCÉLÉRER LE DÉVELOPPEMENT DE SA TECHNOLOGIE ET OUVRIR SON RESTAURANT PILOTE 100% AUTONOME AVEC LES PREMIERS ROBOTS PIZZAÏOLOS CUISINANT DEVANT LES CLIENTS !
Equiteasy,800 000 €,02/07/2019,https://www.jaimelesstartups.fr/news/equiteasy-levee-de-fonds/,Levée de fonds : 800 000 €,Fondateurs : Quentin Ducouret,,https://equiteasy.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/equiteasy/,https://www.facebook.com/Equiteasy/,,,,EQUITEASY ANNONCE UNE LEVÉE DE FONDS DE 800 000 EUROS POUR POCKETSTUDIO
DCbrain,1.5M,25/06/2019,https://www.jaimelesstartups.fr/dcbrain-reseaux-ia-deep-learning/,Levée de fonds : 1.5M,"Fondateurs : Benjamin de Buttet, Arnaud de Moissac",Nombre d'employés : 30,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=DCbrain,https://www.linkedin.com/company/10955803/,,,,,LA STARTUP DCBRAIN APPLIQUE DES ALGO DE MACHINE LEARNING SUR LES MODÈLES DE RÉSEAUX PHYSIQUES AFIN D’OPTIMISER LES OPÉRATIONS D’ÉVOLUTION ET DE MAINTENANNCE.
Quidol,1 million d'euros,14/06/2019,https://www.jaimelesstartups.fr/news/quidol-test-examen-brevet/,Levée de fonds : 1 million d'euros,Fondateurs : Sergine Dupuy,Nombre d'employés : 12,https://www.quidol.fr/?utm_source=JaimeLesStartups,,https://www.facebook.com/QuidolDirect/,,,,"BREVET : SEULS 2,5% DES FRANÇAIS RÉUSSIRAIENT À DÉCROCHER LE BREVET"
We advocacy,"1,2M",13/06/2019,https://www.jaimelesstartups.fr/we-advocacy-solution-de-communication-signature-email-employes/,"Levée de fonds : 1,2M","Fondateurs : Thomas Artiguebieille, Samuel Leblond",,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=We%20advocacy,https://www.linkedin.com/company/25171060,https://www.facebook.com/WeAdvocacy/,,,,LA STARTUP WE ADVOCACY UTILISE LES EMAIL DES EMPLOYÉS DE VOTRE BOITE COMME SUPPORT POUR VOS CAMPAGNE DE COMMUNICATION.
